tag,url,is_banned,count
cutepet,https://danbooru.donmai.us/posts?tags=cutepet&z=5,yes,63
kazato_fuuchi,https://danbooru.donmai.us/posts?tags=kazato_fuuchi&z=5,yes,63
tanu,https://danbooru.donmai.us/posts?tags=tanu&z=5,yes,63
sinsora,https://danbooru.donmai.us/posts?tags=sinsora&z=5,yes,62
niku_(dance-siva),https://danbooru.donmai.us/posts?tags=niku_%28dance-siva%29&z=5,yes,62
namikishiho,https://danbooru.donmai.us/posts?tags=namikishiho&z=5,yes,62
mifu_(b24vc1),https://danbooru.donmai.us/posts?tags=mifu_%28b24vc1%29&z=5,yes,62
aokiku,https://danbooru.donmai.us/posts?tags=aokiku&z=5,yes,62
hellyon_white,https://danbooru.donmai.us/posts?tags=hellyon_white&z=5,yes,62
yaya_(yayaa_00),https://danbooru.donmai.us/posts?tags=yaya_%28yayaa_00%29&z=5,yes,62
lechuza,https://danbooru.donmai.us/posts?tags=lechuza&z=5,yes,62
1s44c,https://danbooru.donmai.us/posts?tags=1s44c&z=5,yes,62
kawaguchi_yukihiro,https://danbooru.donmai.us/posts?tags=kawaguchi_yukihiro&z=5,yes,61
shuang_ye,https://danbooru.donmai.us/posts?tags=shuang_ye&z=5,yes,60
studioqube,https://danbooru.donmai.us/posts?tags=studioqube&z=5,yes,60
samayoi,https://danbooru.donmai.us/posts?tags=samayoi&z=5,yes,60
djayo,https://danbooru.donmai.us/posts?tags=djayo&z=5,yes,59
sisio_kun,https://danbooru.donmai.us/posts?tags=sisio_kun&z=5,yes,59
jess_(jelee),https://danbooru.donmai.us/posts?tags=jess_%28jelee%29&z=5,yes,59
umi_meteo,https://danbooru.donmai.us/posts?tags=umi_meteo&z=5,yes,59
pul_(gks569),https://danbooru.donmai.us/posts?tags=pul_%28gks569%29&z=5,yes,59
nunuko_(mu661129),https://danbooru.donmai.us/posts?tags=nunuko_%28mu661129%29&z=5,yes,59
tsushima_(kaikyo),https://danbooru.donmai.us/posts?tags=tsushima_%28kaikyo%29&z=5,yes,59
hanaarts,https://danbooru.donmai.us/posts?tags=hanaarts&z=5,yes,58
starbottle,https://danbooru.donmai.us/posts?tags=starbottle&z=5,yes,58
saki_tsurugi,https://danbooru.donmai.us/posts?tags=saki_tsurugi&z=5,yes,58
miyoshi_yun,https://danbooru.donmai.us/posts?tags=miyoshi_yun&z=5,yes,57
bobaparfait,https://danbooru.donmai.us/posts?tags=bobaparfait&z=5,yes,57
cyberunique,https://danbooru.donmai.us/posts?tags=cyberunique&z=5,yes,57
happi_xfyg,https://danbooru.donmai.us/posts?tags=happi_xfyg&z=5,yes,56
shepple,https://danbooru.donmai.us/posts?tags=shepple&z=5,yes,56
keshigomu,https://danbooru.donmai.us/posts?tags=keshigomu&z=5,yes,56
hino_mamori,https://danbooru.donmai.us/posts?tags=hino_mamori&z=5,yes,56
